iter	Passed	Remaining
0	2	201
1	3	184
2	5	177
3	6	164
4	8	162
5	10	160
6	11	159
7	13	157
8	15	155
9	17	154
10	18	152
11	20	151
12	22	149
13	23	147
14	25	145
15	27	143
16	28	141
17	30	140
18	32	139
19	34	139
20	36	138
21	38	135
22	39	132
23	40	129
24	42	126
25	43	123
26	44	120
27	46	118
28	47	115
29	48	113
30	50	111
31	51	109
32	52	106
33	53	104
34	55	102
35	56	100
36	57	98
37	59	96
38	60	94
39	61	92
40	62	90
41	63	87
42	64	86
43	66	84
44	67	82
45	68	80
46	70	79
47	71	77
48	72	75
49	74	74
50	75	72
51	77	71
52	78	69
53	80	68
54	81	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	94	52
64	95	51
65	97	50
66	98	48
67	100	47
68	101	45
69	103	44
70	105	42
71	106	41
72	108	40
73	110	38
74	111	37
75	113	35
76	115	34
77	118	33
78	119	31
79	121	30
80	123	28
81	124	27
82	126	25
83	128	24
84	130	22
85	132	21
86	133	20
87	135	18
88	137	16
89	139	15
90	140	13
91	142	12
92	144	10
93	145	9
94	147	7
95	149	6
96	150	4
97	152	3
98	153	1
99	155	0
