iter	Passed	Remaining
0	58	58336
1	62	31187
2	66	22197
3	70	17658
4	74	14890
5	77	12898
6	79	11328
7	81	10150
8	87	9622
9	89	8836
10	91	8191
11	92	7646
12	94	7198
13	96	6804
14	98	6455
15	100	6154
16	101	5885
17	103	5644
18	105	5437
19	106	5242
20	108	5069
21	110	4907
22	112	4763
23	113	4630
24	115	4509
25	117	4394
26	119	4291
27	120	4194
28	122	4103
29	124	4017
30	125	3936
31	127	3860
32	129	3790
33	130	3719
34	132	3654
35	134	3592
36	135	3533
37	137	3476
38	139	3431
39	141	3384
40	142	3340
41	144	3294
42	146	3251
43	147	3209
44	149	3170
45	151	3132
46	152	3095
47	154	3063
48	156	3027
49	157	2996
50	159	2970
51	163	2984
52	166	2966
53	168	2943
54	169	2919
55	171	2898
56	173	2873
57	175	2848
58	177	2823
59	178	2798
60	180	2774
61	181	2751
62	183	2728
63	185	2707
64	186	2685
65	188	2665
66	189	2645
67	191	2624
68	193	2606
69	194	2587
70	196	2569
71	198	2552
72	199	2534
73	201	2518
74	202	2502
75	204	2487
76	206	2471
77	207	2455
78	209	2440
79	210	2425
80	212	2410
81	214	2396
82	214	2375
83	216	2361
84	218	2348
85	219	2336
86	221	2323
87	222	2310
88	224	2297
89	226	2286
90	227	2274
91	229	2263
92	230	2252
93	232	2243
94	234	2231
95	235	2221
96	237	2210
97	239	2200
98	240	2189
99	242	2179
100	243	2169
101	245	2161
102	247	2153
103	248	2145
104	250	2136
105	252	2127
106	253	2118
107	255	2109
108	257	2101
109	258	2094
110	260	2086
111	262	2078
112	263	2069
113	265	2062
114	266	2054
115	268	2046
116	269	2036
117	271	2028
118	272	2020
119	274	2013
120	276	2006
121	277	1996
122	279	1990
123	281	1985
124	282	1979
125	284	1973
126	285	1965
127	287	1958
128	289	1952
129	290	1945
130	292	1938
131	293	1932
132	295	1925
133	297	1919
134	298	1913
135	300	1907
136	301	1901
137	303	1895
138	304	1889
139	306	1883
140	308	1877
141	309	1868
142	310	1863
143	312	1858
144	314	1853
145	316	1853
146	318	1848
147	320	1843
148	321	1837
149	323	1835
150	326	1833
151	327	1829
152	329	1825
153	331	1820
154	333	1815
155	334	1811
156	336	1806
157	339	1811
158	342	1810
159	344	1807
160	345	1801
161	348	1803
162	350	1802
163	355	1813
164	359	1821
165	363	1826
166	366	1827
167	373	1851
168	379	1865
169	389	1903
170	393	1905
171	397	1914
172	403	1928
173	407	1935
174	409	1931
175	414	1938
176	418	1944
177	420	1940
178	422	1935
179	423	1930
180	426	1930
181	431	1938
182	433	1934
183	436	1933
184	443	1953
185	448	1963
186	451	1960
187	453	1957
188	458	1965
189	465	1983
190	469	1988
191	475	1999
192	481	2014
193	484	2013
194	490	2023
195	495	2030
196	497	2028
197	500	2025
198	506	2039
199	510	2043
200	514	2046
201	520	2057
202	526	2065
203	529	2067
204	538	2086
205	541	2086
206	544	2084
207	550	2097
208	555	2103
209	559	2103
210	565	2113
211	571	2124
212	574	2123
213	580	2132
214	583	2130
215	586	2129
216	593	2140
217	601	2156
218	608	2169
219	614	2179
220	617	2178
221	625	2192
222	631	2201
223	634	2197
224	641	2208
225	645	2212
226	650	2213
227	653	2212
228	658	2216
229	661	2213
230	664	2212
231	670	2220
232	674	2219
233	676	2214
234	678	2209
235	683	2212
236	686	2210
237	689	2206
238	691	2202
239	696	2207
240	699	2202
241	701	2197
242	704	2193
243	706	2188
244	708	2183
245	712	2182
246	714	2178
247	717	2174
248	720	2174
249	724	2172
250	726	2168
251	729	2166
252	732	2163
253	735	2159
254	737	2155
255	740	2151
256	743	2148
257	746	2146
258	749	2144
259	752	2140
260	755	2138
261	757	2133
262	759	2129
263	762	2126
264	764	2120
265	766	2114
266	768	2108
267	769	2102
268	771	2096
269	773	2091
270	775	2087
271	777	2082
272	780	2077
273	782	2072
274	784	2067
275	785	2061
276	788	2059
277	791	2054
278	792	2048
279	794	2043
